Approved/Rejected,Campus,Date,Percentage_of_Increase,Price_Difference,Quantity_Removed,Quantity_Removed2,Removed_Spend,Spend,Supplier,Validity_Percent
Approved,UCB,12/26/2013,2.81%,"$2,714.14 ",0,0,$0.00 ,"$98,883.70 ",Promega,98.26%
Approved,UCSF,12/26/2013,2.69%,"$11,076.00 ",0,0,$0.00 ,"$422,135.00 ",Promega,96.77%
Approved,UCB,12/27/2013,0.00%,$41.25 ,10,10,$0.00 ,"$1,357,107.50 ",Sigma,92.45%
Approved,UCSF,12/27/2013,0.00%,$31.00 ,0,0,$0.00 ,"$1,904,847.00 ",Sigma,88.86%
Approved,UCSF,1/10/2014,1.66%,"$1,959.66 ",0,0,$0.00 ,"$280,418.16 ",Eppendorf,40.83%
Approved,UCSF,2/12/2014,1.21%,"$5,162.97 ",0,0,$0.00 ,"$440,620.34 ",Santa Cruz Biotech,96.55%
Approved,UCB,2/12/2014,2.60%,"$4,191.53 ",0,0,$0.00 ,"$173,575.34 ",Santa Cruz Biotech,93.04%
Approved,UCB,2/13/2014,2.22%,"$25,739.38 ",0,0,$0.00 ,"$1,294,462.12 ",Give Something Back,89.49%
Approved,UCB,2/14/2014,-0.12%,($64.73),0,0,$0.00 ,"$82,139.72 ",EMD Chem_No_Contract,67.68%
Approved,UCB,2/14/2014,-0.07%,($96.00),0,0,$0.00 ,"$314,476.88 ",EMD Chem_LabProducts,44.47%
Approved,UCSF,2/14/2014,-0.12%,($123.84),5,0,"$1,907.84 ","$116,413.23 ",EMD Chemicals,87.48%
Approved,UCSF,2/14/2014,-0.02%,($120.44),1,0,$648.00 ,"$603,880.12 ",Millipore,82.81%
Approved,UCSF,2/21/2014,0.00%,$0.00 ,0,0,$0.00 ,"$275,184.69 ",Eppendorf,60.98%
Approved,UCSF,2/24/2014,-2.93%,($301.46),0,0,$0.00 ,"$10,878.25 ",Technical Instruments,94.11%
Approved,UCSF,2/26/2014,-0.02%,($128.12),0,0,$0.00 ,"$708,049.56 ",Rainin,91.66%
Approved,UCSF,2/27/2014,5.85%,"$5,374.90 ",0,0,$0.00 ,"$106,561.59 ",Henry Schein,86.23%
