Part Number	Product Description	Product Size	Packaging UOM	Price	List Price	List vs. Price % Change	12 Month Quantity Ordered	Average Price per Quantity	Total Estimated Impact	Product visible	Reason not visible	Included In Product Views	Manufacturer Name	Manufacturer Part Number	Category	Category UNSPSC	Commodity Code	UNSPSC
"A3511"	"A3511 Magnesium Chloride Solution, 1.5ml"	"1.5ml"	"EA"	"28.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3511"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41106306"
"A3513"	"A3513 Magnesium Chloride Solution, 25ml"	"25ml"	"EA"	"38.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3513"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41106306"
"M1941"	"M1941 Tfl DNA Polymerase, 100u"	"100u"	"EA"	"43.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1941"	"Thermostable DNA Polymerases"	"12-35-22-04"	"00111"	"41106314"
"M1945"	"M1945 Tfl DNA Polymerase, 1,000u"	"1,000u"	"EA"	"363.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1945"	"Thermostable DNA Polymerases"	"12-35-22-04"	"00111"	"41106314"
"M2101"	"M2101 Tth DNA Polymerase, 100u"	"100u"	"EA"	"76.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2101"	"Thermostable DNA Polymerases"	"12-35-22-04"	"00111"	"41106314"
"M2105"	"M2105 Tth DNA Polymerase, 500u"	"500u"	"EA"	"312.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2105"	"Thermostable DNA Polymerases"	"12-35-22-04"	"00111"	"41106314"
"M2051"	"M2051 DNA Polymerase I, 500u"	"500u"	"EA"	"93.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2051"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116133"
"M2055"	"M2055 DNA Polymerase I, 2,500u"	"2,500u"	"EA"	"354.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2055"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116133"
"M2201"	"M2201 DNA Polymerase I Large (Klenow) Fragment, 150u"	"150u"	"EA"	"77.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2201"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116133"
"M2206"	"M2206 DNA Polymerase I Large (Klenow) Fragment, 500u"	"500u"	"EA"	"186.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2206"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116133"
"U1300"	"U1300 DNA Polymerase I Large (Klenow) Fragment Mini Kit, 150u"	"150u"	"EA"	"175.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1300"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116133"
"M2181"	"M2181 Klenow Fragment, Exonuclease Minus, 100u"	"100u"	"EA"	"38.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M2181"	"Exonucleases"	"12-35-22-04"	"00111"	"41116133"
"M4211"	"M4211 T4 DNA Polymerase, 100u"	"100u"	"EA"	"67.90"	""	""	"1"	"67.90"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4211"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116134"
"M4215"	"M4215 T4 DNA Polymerase, 500u"	"500u"	"EA"	"266.00"	""	""	"3"	"266.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4215"	"DNA Polymerases"	"12-35-22-04"	"00111"	"41116134"
"M1871"	"M1871 Terminal Deoxynucleotidyl Transferase, Recombinant, 300u"	"300u"	"EA"	"56.00"	""	""	"1"	"56.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1871"	"Transferases"	"12-35-22-04"	"00111"	"41116134"
"M1875"	"M1875 Terminal Deoxynucleotidyl Transferase, Recombinant, 1,500u"	"1,500u"	"EA"	"196.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1875"	"Transferases"	"12-35-22-04"	"00111"	"41116134"
"M1893"	"M1893 Terminal Transferase Buffer Pack, 3 x 500microl"	"3 x 500microl"	"EA"	"14.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1893"	"Biological Buffers"	"12-16-17-00"	"00278"	"41116134"
"P1081"	"P1081 SP6 RNA Polymerase, 5,000u"	"5,000u"	"EA"	"580.56"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P1081"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P1085"	"P1085 SP6 RNA Polymerase, 1,000u"	"1,000u"	"EA"	"172.20"	""	""	"1"	"172.20"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P1085"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P4084"	"P4084 SP6 RNA Polymerase (HC), 2,500u"	"2,500u"	"EA"	"332.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P4084"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P2075"	"P2075 T7 RNA Polymerase, 1,000u"	"1,000u"	"EA"	"59.04"	""	""	"2"	"59.04"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P2075"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P2077"	"P2077 T7 RNA Polymerase, 5,000u"	"5,000u"	"EA"	"199.26"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P2077"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P4074"	"P4074 T7 RNA Polymerase (HC), 10,000u"	"10,000u"	"EA"	"329.64"	""	""	"3"	"329.64"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P4074"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P2083"	"P2083 T3 RNA Polymerase, 1,000u"	"1,000u"	"EA"	"40.18"	""	""	"2"	"40.18"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P2083"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"P4024"	"P4024 T3 RNA Polymerase (HC), 2,500u"	"2,500u"	"EA"	"76.26"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P4024"	"RNA Polymerases"	"12-35-22-04"	"00111"	"41105803"
"M5101"	"M5101 AMV Reverse Transcriptase, 300u"	"300u"	"EA"	"70.00"	""	""	"5"	"70.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M5101"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41116134"
"M5108"	"M5108 AMV Reverse Transcriptase, 1,000u"	"1,000u"	"EA"	"186.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M5108"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41116134"
"M9004"	"M9004 AMV Reverse Transcriptase (HC), 600u"	"600u"	"EA"	"133.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M9004"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41116134"
"M1701"	"M1701 M-MLV Reverse Transcriptase, 10,000u"	"10,000u"	"EA"	"44.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1701"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41116134"
"M1705"	"M1705 M-MLV Reverse Transcriptase, 50,000u"	"50,000u"	"EA"	"170.80"	""	""	"3"	"170.80"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1705"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41116134"
"M5313"	"M5313 M-MLV Reverse Transcriptase Buffer Pack, 2 x 1ml"	"2 x 1ml"	"EA"	"12.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M5313"	"Biological Buffers"	"12-16-17-00"	"00278"	"41116134"
"M1801"	"M1801 T4 DNA Ligase, 100u"	"100u"	"EA"	"33.60"	""	""	"1"	"33.60"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1801"	"DNA Ligases"	"12-35-22-04"	"00111"	"41116134"
"M1804"	"M1804 T4 DNA Ligase, 500u"	"500u"	"EA"	"133.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1804"	"DNA Ligases"	"12-35-22-04"	"00111"	"41116134"
"M1794"	"M1794 T4 DNA Ligase (HC), 500u"	"500u"	"EA"	"136.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1794"	"DNA Ligases"	"12-35-22-04"	"00111"	"41116134"
"C1263"	"C1263 T4 DNA Ligase Buffer Pack, 1.5ml"	"1.5ml"	"EA"	"12.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"C1263"	"DNA Ligases"	"12-35-22-04"	"00111"	"41116134"
"M1051"	"M1051 T4 RNA Ligase, 500u"	"500u"	"EA"	"89.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1051"	"RNA Ligases"	"12-35-22-04"	"00111"	"41116134"
"M4101"	"M4101 T4 Polynucleotide Kinase, 100u"	"100u"	"EA"	"38.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4101"	"Polynucleotide Kinases"	"12-35-22-04"	"00111"	"41116134"
"M4103"	"M4103 T4 Polynucleotide Kinase, 1,000u"	"1,000u"	"EA"	"282.10"	""	""	"1"	"282.10"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4103"	"Polynucleotide Kinases"	"12-35-22-04"	"00111"	"41116134"
"C1313"	"C1313 T4 PNK Buffer Pack, 1.5ml"	"1.5ml"	"EA"	"19.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"C1313"	"Polynucleotide Kinases"	"12-35-22-04"	"00111"	"41116134"
"M1811"	"M1811 Exonuclease III, 5,000u"	"5,000u"	"EA"	"59.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1811"	"Exonucleases"	"12-35-22-04"	"00111"	"41116134"
"M1815"	"M1815 Exonuclease III, 25,000u"	"25,000u"	"EA"	"192.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M1815"	"Exonucleases"	"12-35-22-04"	"00111"	"41116134"
"M4311"	"M4311 Mung Bean Nuclease, 2,000u"	"2,000u"	"EA"	"64.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4311"	"Other Enzymes"	"12-35-22-04"	"00111"	"41116134"
"M4281"	"M4281 Ribonuclease H, 50u"	"50u"	"EA"	"137.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4281"	"Ribonucleases (RNase)"	"12-35-22-04"	"00111"	"41116134"
"M4285"	"M4285 Ribonuclease H, 250u"	"250u"	"EA"	"508.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4285"	"Ribonucleases (RNase)"	"12-35-22-04"	"00111"	"41116134"
"M4261"	"M4261 RNase ONE Ribonuclease, 1,000u"	"1,000u"	"EA"	"77.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4261"	"Ribonucleases (RNase)"	"12-35-22-04"	"00111"	"41116134"
"M4265"	"M4265 RNase ONE Ribonuclease, 5,000u"	"5,000u"	"EA"	"254.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M4265"	"Ribonucleases (RNase)"	"12-35-22-04"	"00111"	"41116134"
"M6101"	"M6101 RQ1 RNase-Free DNase, 1,000u"	"1,000u"	"EA"	"34.30"	""	""	"7"	"33.65"	"4.55"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M6101"	"Deoxyribonucleases (DNase)"	"12-35-22-04"	"00111"	"41116133"
"M5761"	"M5761 S1 Nuclease, 10,000u"	"10,000u"	"EA"	"28.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"M5761"	"Other Enzymes"	"12-35-22-04"	"00111"	"41116134"
